2022-06-15 13:38:49.150;"[{""id"":""1"",""type"":""radio"",""answers"":[""1.2""],""text"":null},{""id"":""2"",""type"":""radio"",""answers"":[""2.1""],""text"":null},{""id"":""3"",""type"":""checkbox"",""answers"":[""3.2""],""text"":null},{""id"":""4"",""type"":""checkbox"",""answers"":[""4.2""],""text"":null},{""id"":""5"",""type"":""text"",""answers"":[],""text"":""""},{""id"":""6"",""type"":""text"",""answers"":[],""text"":""""},{""id"":""7"",""type"":""range"",""answers"":[""10""],""text"":null},{""id"":""8"",""type"":""text"",""answers"":[],""text"":""""}]"
2022-06-14 22:27:27.690;"[{""id"":""1"",""type"":""radio"",""answers"":[""1.2""],""text"":null},{""id"":""2"",""type"":""radio"",""answers"":[""2.1""],""text"":null},{""id"":""3"",""type"":""checkbox"",""answers"":[""3.1""],""text"":null},{""id"":""4"",""type"":""checkbox"",""answers"":[""4.3""],""text"":null},{""id"":""5"",""type"":""text"",""answers"":[],""text"":""All of them""},{""id"":""6"",""type"":""text"",""answers"":[],""text"":""""},{""id"":""7"",""type"":""range"",""answers"":[""10""],""text"":null},{""id"":""8"",""type"":""text"",""answers"":[],""text"":""""}]"
2022-06-13 23:23:45.563;"[{""id"":""1"",""type"":""radio"",""answers"":[""1.1""],""text"":null},{""id"":""2"",""type"":""radio"",""answers"":[""2.2""],""text"":null},{""id"":""3"",""type"":""checkbox"",""answers"":[""3.2""],""text"":null},{""id"":""4"",""type"":""checkbox"",""answers"":[""4.3""],""text"":null},{""id"":""5"",""type"":""text"",""answers"":[],""text"":""""},{""id"":""6"",""type"":""text"",""answers"":[],""text"":""So easy for her age and age appropriate. Fun skills practice in matching and thought!\n""},{""id"":""7"",""type"":""range"",""answers"":[""9""],""text"":null},{""id"":""8"",""type"":""text"",""answers"":[],""text"":""""}]"
2022-06-12 01:08:05.097;"[{""id"":""1"",""type"":""radio"",""answers"":[""1.1""],""text"":null},{""id"":""2"",""type"":""radio"",""answers"":[""2.4""],""text"":null},{""id"":""3"",""type"":""checkbox"",""answers"":[""3.2""],""text"":null},{""id"":""4"",""type"":""checkbox"",""answers"":[""4.2"",""4.3""],""text"":null},{""id"":""5"",""type"":""text"",""answers"":[],""text"":""write the names of the words""},{""id"":""6"",""type"":""text"",""answers"":[],""text"":""everything\n""},{""id"":""7"",""type"":""range"",""answers"":[""9""],""text"":null},{""id"":""8"",""type"":""text"",""answers"":[],""text"":""no\n""}]"
2022-06-10 19:17:32.337;"[{""id"":""1"",""type"":""radio"",""answers"":[""1.1""],""text"":null},{""id"":""2"",""type"":""radio"",""answers"":[""2.1""],""text"":null},{""id"":""3"",""type"":""checkbox"",""answers"":[""3.2""],""text"":null},{""id"":""4"",""type"":""checkbox"",""answers"":[""4.2""],""text"":null},{""id"":""5"",""type"":""text"",""answers"":[],""text"":""""},{""id"":""6"",""type"":""text"",""answers"":[],""text"":""""},{""id"":""7"",""type"":""range"",""answers"":[""7""],""text"":null},{""id"":""8"",""type"":""text"",""answers"":[],""text"":""""}]"
2022-06-10 11:16:13.700;"[{""id"":""1"",""type"":""radio"",""answers"":[""1.5""],""text"":null},{""id"":""2"",""type"":""radio"",""answers"":[""2.4""],""text"":null},{""id"":""3"",""type"":""checkbox"",""answers"":[""3.4""],""text"":null},{""id"":""4"",""type"":""checkbox"",""answers"":[""4.4""],""text"":null},{""id"":""5"",""type"":""text"",""answers"":[],""text"":""""},{""id"":""6"",""type"":""text"",""answers"":[],""text"":""""},{""id"":""7"",""type"":""range"",""answers"":[""8""],""text"":null},{""id"":""8"",""type"":""text"",""answers"":[],""text"":""""}]"
2022-06-10 09:49:29.697;"[{""id"":""1"",""type"":""radio"",""answers"":[""1.5""],""text"":null},{""id"":""2"",""type"":""radio"",""answers"":[""2.4""],""text"":null},{""id"":""3"",""type"":""checkbox"",""answers"":[""3.1"",""3.2"",""3.3"",""3.4""],""text"":null},{""id"":""4"",""type"":""checkbox"",""answers"":[""4.1"",""4.2"",""4.3"",""4.4"",""4.5""],""text"":null},{""id"":""5"",""type"":""text"",""answers"":[],""text"":""""},{""id"":""6"",""type"":""text"",""answers"":[],""text"":""""},{""id"":""7"",""type"":""range"",""answers"":[""10""],""text"":null},{""id"":""8"",""type"":""text"",""answers"":[],""text"":""""}]"
2022-06-10 07:14:03.647;"[{""id"":""1"",""type"":""radio"",""answers"":[""1.3""],""text"":null},{""id"":""2"",""type"":""radio"",""answers"":[""2.2""],""text"":null},{""id"":""3"",""type"":""checkbox"",""answers"":[""3.2""],""text"":null},{""id"":""4"",""type"":""checkbox"",""answers"":[""4.1""],""text"":null},{""id"":""5"",""type"":""text"",""answers"":[],""text"":""""},{""id"":""6"",""type"":""text"",""answers"":[],""text"":""""},{""id"":""7"",""type"":""range"",""answers"":[""8""],""text"":null},{""id"":""8"",""type"":""text"",""answers"":[],""text"":""""}]"
2022-06-10 03:16:25.177;"[{""id"":""1"",""type"":""radio"",""answers"":[""1.2""],""text"":null},{""id"":""2"",""type"":""radio"",""answers"":[""2.1""],""text"":null},{""id"":""3"",""type"":""checkbox"",""answers"":[""3.2""],""text"":null},{""id"":""4"",""type"":""checkbox"",""answers"":[""4.3"",""4.2""],""text"":null},{""id"":""5"",""type"":""text"",""answers"":[],""text"":""shapes alphabets colouring  adventure game and many more puzzle s""},{""id"":""6"",""type"":""text"",""answers"":[],""text"":""adventure and stories and game\n""},{""id"":""7"",""type"":""range"",""answers"":[""10""],""text"":null},{""id"":""8"",""type"":""text"",""answers"":[],""text"":""kids learning aap""}]"
2022-06-09 21:32:56.553;"[{""id"":""1"",""type"":""radio"",""answers"":[""1.1""],""text"":null},{""id"":""2"",""type"":""radio"",""answers"":[""2.3""],""text"":null},{""id"":""3"",""type"":""checkbox"",""answers"":[""3.1""],""text"":null},{""id"":""4"",""type"":""checkbox"",""answers"":[""4.3""],""text"":null},{""id"":""5"",""type"":""text"",""answers"":[],""text"":""""},{""id"":""6"",""type"":""text"",""answers"":[],""text"":""""},{""id"":""7"",""type"":""range"",""answers"":[""9""],""text"":null},{""id"":""8"",""type"":""text"",""answers"":[],""text"":""Just others on play store\n""}]"
